Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,School
Charvez Ambrose,7,JR,G,6-5,180.0,"Memphis, TN",Bartlett (TN),,,Middle Tennessee
Jax Howard,8,FR,G,6-0,170.0,"Shelbyville, TN",The Webb School (TN),,,Middle Tennessee
Brandon Oloumou,12,JR,F,6-9,215.0,"Nassau, Bahamas",Menaul (NM),,,Middle Tennessee
Amar Augillard,1,SR,G,6-4,210.0,"Zion, IL",Zion Benton HS,,"12.9 Pts, 2.8 Reb, 1.1 Ast",Milwaukee
Josh Dixon,2,FR,G,6-1,160.0,"Charlotte, NC",Milton (GA),,"9.5 Pts, 1.2 Reb, 1.5 Ast",Milwaukee
Danilo Jovanovich,3,SR,F,6-8,220.0,"Milwaukee, WI",Whitnall (WI),,"12.4 Pts, 6.1 Reb, 2.2 Ast",Milwaukee
Stevie Elam,8,FR,G,6-3,200.0,"Adrian, MI",Adrian (MI),,"9.6 Pts, 4.5 Reb, 0.6 Ast",Milwaukee
Aaron Franklin,29,SR,G,6-5,210.0,"Kansas City, MO",Raytown (MO),,"6.8 Pts, 6.5 Reb, 1.3 Ast",Milwaukee
Chandler Jackson,11,JR,F,6-6,225.0,"Indianapolis, IN",Warren Central (IN),,"8.5 Pts, 2.7 Reb, 0.9 Ast",Milwaukee
Sekou Konneh,25,SO,F,6-9,205.0,"Milwaukee, WI",St. Thomas More (WI),,"6.1 Pts, 4.6 Reb, 0.3 Ast",Milwaukee
Isaiah Dorceus,5,JR,G,6-0,180.0,"Orlando, FL",West Oaks Academy (FL),,"5.7 Pts, 1.6 Reb, 3.9 Ast",Milwaukee
Seth Hubbard,12,SR,G,6-4,175.0,"Jonesboro, GA",St. Francis (GA); Huntington Prep (WV),,"16.6 Pts, 3.3 Reb, 2.1 Ast",Milwaukee
Faizon Fields,22,SR,F,6-10,225.0,"Memphis, TN",Houston (TN),,"7.2 Pts, 5.7 Reb, 0.4 Ast",Milwaukee
Esyah Pippa-White,24,JR,G,6-2,180.0,"Portland, OR",Gresham (OR),,"4.0 Pts, 1.6 Reb, 1.8 Ast",Milwaukee
Simeon Murchison,9,JR,F,6-9,221.0,"Milwaukee, WI",Milwaukee Hamilton (WI),,"1.3 Pts, 0.9 Reb, 0.1 Ast",Milwaukee
Tate MacKenzie,34,JR,F,6-10,260.0,"Ypsilanti, MI",Lincoln (MI),,"0.8 Pts, 1.2 Reb, 0.1 Ast",Milwaukee
Austin Villarreal,23,SO,G,6-1,175.0,"Pewaukee, WI",Arrowhead (WI),,"0.5 Pts, 1.0 Reb, 0.0 Ast",Milwaukee
"John Lovelace, Jr.",0,SR,G,6-7,205.0,"Brown Deer, WI",Brown Deer (WI); We Are United Prep (MO),,,Milwaukee
Ned Renfree,10,FR,G,6-2,170.0,"Ballarat, Australia",,,,Milwaukee
Cade Tyson,10,SR,F,6-7,200.0,"Monroe, NC",Carmel Christian (NC),,"19.2 Pts, 5.5 Reb, 2.4 Ast",Minnesota
Jaylen Crocker-Johnson,5,JR,F,6-8,230.0,"San Antonio, TX",Warren (TX),,"13.4 Pts, 6.8 Reb, 1.8 Ast",Minnesota
Isaac Asuma,1,SO,G,6-3,196.0,"Cherry, MN",Cherry (MN),,"10.9 Pts, 4.0 Reb, 3.9 Ast",Minnesota
Langston Reynolds,6,SR,G,6-4,195.0,"Denver, CO",Denver East (CO); Colorado Prep (CO),,"10.8 Pts, 4.4 Reb, 4.3 Ast",Minnesota
Bobby Durkin,3,JR,F,6-7,215.0,"Darien, IL",Glenbard West (IL),,"9.7 Pts, 3.0 Reb, 1.7 Ast",Minnesota
Grayson Grove,2,SO,F,6-9,220.0,"Alexandria, MN",Alexandria (MN),,"3.7 Pts, 2.6 Reb, 1.0 Ast",Minnesota
Kai Shinholster,9,FR,G,6-5,175.0,"Woolwich, NJ",William Penn Charter School (PA),,"2.1 Pts, 1.3 Reb, 1.2 Ast",Minnesota
Chansey Willis,0,SR,G,6-2,190.0,"Detroit, MI",Detroit King (MI),,"6.3 Pts, 3.0 Reb, 3.3 Ast",Minnesota
Robert Vaihola,22,SR,F,6-8,245.0,"San Francisco, CA",Archbishop Riordan HS,,"5.0 Pts, 7.6 Reb, 1.4 Ast",Minnesota
Nehemiah Turner,4,SO,F,6-10,265.0,"Auburndale, FL",Auburndale (FL),,"0.7 Pts, 1.6 Reb, 0.3 Ast",Minnesota
Maximus Gizzi,11,SR,G,6-1,185.0,"New Palestine, IN",New Palestine (IN),,"0.0 Pts, 0.1 Reb, 0.0 Ast",Minnesota
RJ Spencer,12,SR,G,6-3,185.0,"Blaine, MN",Totino Grace (MN),,"0.0 Pts, 0.0 Reb, 0.0 Ast",Minnesota
Max Lorenson,8,FR,G,6-2,175.0,"Eden Prairie, MN",Eden Prairie (MN),,,Minnesota
BJ Omot,20,JR,F,6-8,175.0,"Mankato, MN",Mankato East (MN),,,Minnesota
Chance Stephens,13,JR,G,6-3,185.0,"Riverside, CA",Riverside Poly (CA),,,Minnesota
AJ Storr,2,SR,G,6-6,200.0,"Rockford, IL",Kankakee (IL); Bishop Gorman (NV); AZ Compass Prep (AZ); IMG Academy (FL),,"14.8 Pts, 3.4 Reb, 1.9 Ast",Mississippi
Malik Dia,0,SR,F,6-9,240.0,"Murfreesboro, TN",Ensworth (TN),,"13.5 Pts, 6.0 Reb, 0.8 Ast",Mississippi
Ilias Kamardine,6,SR,G,6-5,185.0,"Marseille, France",,,"10.6 Pts, 3.3 Reb, 3.8 Ast",Mississippi
Patton Pinkins,23,FR,G,6-5,200.0,"Murfreesboro, TN",Frenship (TX),,"8.7 Pts, 1.8 Reb, 0.8 Ast",Mississippi
Kezza Giffa,13,SR,G,6-2,165.0,"Paris, France",Levallois Metropolitans (France),,"6.6 Pts, 1.3 Reb, 1.4 Ast",Mississippi
Travis Perry,11,SO,G,6-1,188.0,"Eddyville, KY",Lyon County (KY),80 (2024),"5.1 Pts, 1.4 Reb, 0.8 Ast",Mississippi
Eduardo Klafke,8,SO,G,6-5,195.0,"Franca SP, Brazil",NBA Academy Latin America,,"4.2 Pts, 2.2 Reb, 1.1 Ast",Mississippi
James Scott,4,JR,F,6-11,210.0,"Fayetteville, NC",E.E. Smith (NC),,"3.2 Pts, 3.9 Reb, 0.5 Ast",Mississippi
Corey Chest,1,SO,F,6-8,210.0,"New Orleans, LA",McMain (LA); Link Academy (MO),,"3.0 Pts, 4.2 Reb, 0.7 Ast",Mississippi
Augusto Cassia,88,JR,F,6-8,220.0,"Salvador, Brazil",NBA Academy Latin America; NBA Global Academy (Australia),,"2.5 Pts, 1.6 Reb, 0.6 Ast",Mississippi
Koren Johnson,3,SR,G,6-2,175.0,"Seattle, WA",Garfield (WA); Wasatch Academy (UT),,"2.2 Pts, 0.8 Reb, 1.4 Ast",Mississippi
Zach Day,31,SO,G,6-5,185.0,"Midland, TX",Midland Christian (TX),,"1.0 Pts, 1.3 Reb, 0.3 Ast",Mississippi
Max Smith,22,SR,G,6-1,175.0,"Austin, TX",Anderson (TX),,"1.0 Pts, 0.1 Reb, 0.0 Ast",Mississippi
Hobert Grayson,5,SR,G,6-4,205.0,"Gonzales, LA",East Ascension (LA),,"1.4 Pts, 1.4 Reb, 0.2 Ast",Mississippi
Niko Bundalo,7,FR,F,6-10,215.0,"Canton, OH",Green (OH); Western Reserve Academy (OH); Prolific Prep (CA),31 (2025),"0.2 Pts, 0.4 Reb, 0.0 Ast",Mississippi
Tylis Jordan,10,FR,F,6-9,215.0,"Milledgeville, GA",Wheeler (GA),48 (2025),,Mississippi
Josh Hubbard,12,JR,G,5-10,185.0,"Madison, MS",Madison-Ridgeland Academy (MS),,"22.4 Pts, 2.5 Reb, 3.6 Ast",Mississippi State
Jayden Epps,10,SR,G,6-2,190.0,"Norfolk, VA",King's Fork (VA); Combine Academy (NC),77 (2022),"14.3 Pts, 2.5 Reb, 2.2 Ast",Mississippi State
Ja'Borri McGhee,2,SR,G,6-0,200.0,"McComb, MS",Winfield (AL),,"8.1 Pts, 2.3 Reb, 1.9 Ast",Mississippi State
Quincy Ballard,15,SR,C,6-11,240.0,"Syracuse, NY",Quality Education Academy,,"6.2 Pts, 6.2 Reb, 0.5 Ast",Mississippi State
Achor Achor,99,SR,F,6-9,222.0,"Melbourne, Australia",Greenforest McCalep (GA),,"5.9 Pts, 6.5 Reb, 0.5 Ast",Mississippi State
Shawn Jones,5,SR,G,6-5,200.0,"Houston, TX",Shadow Creek (TX),,"5.4 Pts, 4.3 Reb, 1.5 Ast",Mississippi State
Sergej Macura,11,SO,F,6-9,220.0,"Ljubljana, Slovenia",,,"5.1 Pts, 5.1 Reb, 0.9 Ast",Mississippi State
Jamarion Davis-Fleming,0,FR,F,6-10,240.0,"Canton, MS",Canton (MS),,"3.7 Pts, 4.7 Reb, 0.5 Ast",Mississippi State
Brandon Walker,4,SR,F,6-7,260.0,"Oak Cliff, TX",Faith and Family Academy (TX),,"4.7 Pts, 2.1 Reb, 0.5 Ast",Mississippi State
King Grace,23,FR,G,6-5,195.0,"Dallas, TX",Oak Cliff Faith Family Academy (TX),65 (2025),"4.3 Pts, 1.0 Reb, 0.5 Ast",Mississippi State
Amier Ali,14,SO,F,6-8,185.0,"Little Elm, TX",Spring Creek Academy (TX); Canyon International (AZ),78 (2024),"3.2 Pts, 1.7 Reb, 0.2 Ast",Mississippi State
Dellquan Warren,1,SO,G,6-2,180.0,"Erie, PA",Keystone Athletic Academy (PA); Cathedral Prep (PA); Our Savior Lutheran (NY),,"1.1 Pts, 0.4 Reb, 0.9 Ast",Mississippi State
Tee Bartlett,3,FR,C,6-11,290.0,"Los Angeles, CA",Overtime Elite (GA),73 (2025),,Mississippi State
Gai Chol,34,JR,C,6-11,245.0,"Juba, South Sudan",Greenforest Mccalep Christian (GA),,,Mississippi State
Cameren Paul,8,FR,G,6-7,210.0,"Grand Prairie, TX",South Grand Prairie (TX),,,Mississippi State
Michael James,10,JR,G,6-1,175.0,"Byhalia, MS",HW Byers (MS),,"21.6 Pts, 3.3 Reb, 2.4 Ast",Mississippi Valley State
Daniel Mayfield,22,SR,F,6-8,215.0,"Toccoa, GA",Ben Franklin Academy (GA),,"13.5 Pts, 6.4 Reb, 1.5 Ast",Mississippi Valley State
Patrick Punch,0,SR,G,6-4,185.0,"Houston, TX",Eisenhower Senior (TX),,"7.9 Pts, 3.0 Reb, 1.8 Ast",Mississippi Valley State
Lamont Sams,3,SR,F,6-9,200.0,"Savannah, GA","Johnson (Savannah, GA)",,"8.4 Pts, 4.6 Reb, 1.1 Ast",Mississippi Valley State
X’Zaevion Barnett,24,JR,G,6-2,210.0,"Altheimer, AR",Pine Bluff (AR),,"5.7 Pts, 4.4 Reb, 2.6 Ast",Mississippi Valley State
Delkedric Holmes,2,JR,G,6-2,180.0,"Pine Bluff, AR",Arlington (TX),,"4.8 Pts, 1.6 Reb, 2.6 Ast",Mississippi Valley State
Mussa Mzein,20,JR,C,6-10,245.0,"Stockholm, Sweden",Spring Creek Academy (TX),,"3.0 Pts, 2.1 Reb, 0.7 Ast",Mississippi Valley State
Sam Murray,21,SR,F,6-8,190.0,"Gulfport, MS",Harrison Central (MS),,"6.7 Pts, 3.4 Reb, 0.6 Ast",Mississippi Valley State
Xzayvion Childress,11,JR,G,6-0,,,,,"8.9 Pts, 2.0 Reb, 2.4 Ast",Mississippi Valley State
Tyrone Iroghama,13,JR,F,6-8,230.0,"London, United Kingdom",Norwood (England),,"2.7 Pts, 2.3 Reb, 0.3 Ast",Mississippi Valley State
Chance Sutton,5,JR,F,6-7,205.0,"Dallas, TX",Ridgeland (TX),,"1.7 Pts, 2.3 Reb, 0.2 Ast",Mississippi Valley State
Antonio Sisk,1,SR,G,6-1,175.0,"Dallas, TX","James Madison (Dallas, TX)",,"2.5 Pts, 1.0 Reb, 2.0 Ast",Mississippi Valley State
Johnathan Pace,35,SO,C,6-9,265.0,"Gulfport, MS",Gulfport (MS),,"0.7 Pts, 1.1 Reb, 0.2 Ast",Mississippi Valley State
George Ivory III,14,SR,G,6-3,175.0,"Pine Bluff, AR",Watson Chapel HS,,,Mississippi Valley State
Derrick Singleton,23,JR,F,6-4,195.0,"Inglewood, CA",Leflore County (MS),,,Mississippi Valley State
Mark Mitchell,25,SR,F,6-8,220.0,"Kansas City, KS",Sunrise Christian (KS),22 (2022),"16.9 Pts, 5.5 Reb, 3.7 Ast",Missouri
Jayden Stone,17,SR,G,6-4,180.0,"Perth, Australia",Sunrise Christian HS,,"15.1 Pts, 5.1 Reb, 2.1 Ast",Missouri
Jacob Crews,35,SR,G,6-7,210.0,"Hilliard, FL",Hilliard (FL),,"9.8 Pts, 4.3 Reb, 0.3 Ast",Missouri
Anthony Robinson,0,JR,G,6-2,175.0,"Tallahassee, FL",Florida State University School (FL),,"9.2 Pts, 3.2 Reb, 3.2 Ast",Missouri
T.O. Barrett,5,SO,G,6-4,200.0,"Oklahoma City, OK",Edmond North (OK); Link Academy (MO),,"8.2 Pts, 2.5 Reb, 2.8 Ast",Missouri
Shawn Phillips,15,SR,F,7-0,245.0,"Dayton, OH",Belmont (OH); Ypsilanti Prep (MI); Dream City Christian (AZ),,"7.5 Pts, 5.1 Reb, 0.7 Ast",Missouri
Trent Pierce,11,JR,F,6-10,210.0,"Tulsa, OK",Union (OK); AZ Compass Prep (AZ),92 (2023),"10.2 Pts, 3.8 Reb, 1.2 Ast",Missouri
Sebastian Mack,12,JR,G,6-3,200.0,"Chicago, IL",Durango (NV); Coronado (NV),56 (2023),"7.0 Pts, 1.3 Reb, 0.6 Ast",Missouri
Jevon Porter,14,SR,F,6-11,220.0,"Columbia, MO",Father Tolton Catholic (MO),,"6.2 Pts, 4.0 Reb, 1.6 Ast",Missouri
Luke Northweather,45,JR,C,6-11,232.0,"Jefferson City, MO",Blair Oaks (MO),,"3.1 Pts, 2.5 Reb, 0.6 Ast",Missouri
Annor Boateng,6,SO,G,6-6,215.0,"Little Rock, AR",Little Rock Central (AR),30 (2024),"2.7 Pts, 1.8 Reb, 0.3 Ast",Missouri
Trent Burns,7,SO,C,7-5,235.0,"Cypress, TX",Good Vision Academy (TX),97 (2024),"1.4 Pts, 1.4 Reb, 0.1 Ast",Missouri
Nicholas Randall,24,FR,F,6-9,240.0,"St. Louis, MO",Vashon (MO); AZ Compass Prep (AZ),,"0.8 Pts, 1.0 Reb, 0.2 Ast",Missouri
Aaron Rowe,1,FR,G,6-2,155.0,"Columbia, MO",Father Tolton (MO),98 (2025),,Missouri
Keith Palek,11,SR,F,6-8,220.0,"Woodbine, NJ",St. Augustine Prep (NJ),,"18.0 Pts, 6.8 Reb, 3.7 Ast",Missouri State
Kobi Williams,0,JR,G,6-4,195.0,"St. Louis, MO",Westminster Christian Academy (MO),,"14.8 Pts, 2.8 Reb, 1.5 Ast",Missouri State
Michael Osei-Bonsu,23,SR,F,6-4,280.0,"Bolingbrook, IL",Bolingbrook (IL),,"14.7 Pts, 7.0 Reb, 2.2 Ast",Missouri State
Trey Williams,1,FR,G,6-3,180.0,"Centralia, IL",Vashon (MO),,"8.5 Pts, 1.7 Reb, 2.8 Ast",Missouri State
Zaxton King,13,SO,G,6-3,185.0,"Lawrence, KS",Lawrence (KS),,"7.5 Pts, 2.2 Reb, 1.8 Ast",Missouri State
Darrion Sutton,10,SO,F,6-8,205.0,"St. Charles, MO",Gateway City Elite (MO); Accelerated Prep (CO); Overtime Elite (GA),94 (2024),"5.2 Pts, 4.7 Reb, 0.8 Ast",Missouri State
Antwan Burnett,4,SR,F,6-5,195.0,"Montgomery, AL",Sidney Lanier (AL),,"5.3 Pts, 4.1 Reb, 1.2 Ast",Missouri State
Cameron Boone,20,JR,F,6-10,240.0,"East St. Louis, IL",East St. Louis (IL),,"1.7 Pts, 1.8 Reb, 0.1 Ast",Missouri State
Tyrique Brooks,2,SO,G,6-4,180.0,"Springfield, MO",Sprinfield Central (MO),,"2.1 Pts, 0.6 Reb, 0.5 Ast",Missouri State
Melakih Cunningham,5,FR,G,6-7,196.0,"Gary, IN",Decatur Central (IN); Crispus Attucks (IN); Moravian Prep (NC),,"2.6 Pts, 1.9 Reb, 0.5 Ast",Missouri State
Logan Epes,6,SR,G,6-3,195.0,"Garland, TX",Bishop Lynch (TX),,"1.3 Pts, 1.2 Reb, 0.3 Ast",Missouri State
Amar Kuljuhovic,7,SR,C,6-8,225.0,"Waterloo, IA",Waterloo West (IA),,"7.5 Pts, 6.0 Reb, 1.5 Ast",Missouri State
Ryder Cheesman,31,FR,G,6-4,177.0,"Melbourne, Australia",Camberwell Grammar School (Australia),,"3.3 Pts, 1.7 Reb, 0.3 Ast",Missouri State
Collin Clark,3,FR,F,6-7,215.0,"Springfield, MO",Greenwood Lab School (MO),,,Missouri State
Jason Rivera-Torres,1,JR,G,6-7,180.0,"Bronx, NY",Iona Prep (NY); Bishop Walsh (MD); John Marshall (VA),,"15.5 Pts, 8.4 Reb, 3.1 Ast",Monmouth
Justin Ray,7,SO,G,6-3,175.0,"Greer, SC",Eastside (SC),,"11.6 Pts, 2.3 Reb, 1.3 Ast",Monmouth
Stefanos Spartalis,15,FR,F,6-9,220.0,"Chios, Greece",,,"10.2 Pts, 4.6 Reb, 0.8 Ast",Monmouth
Cornelius Robinson,23,JR,G,6-6,225.0,"Willingboro, NJ",Camden (NJ),,"9.2 Pts, 4.4 Reb, 1.5 Ast",Monmouth
Andrew Ball,4,SR,G,6-8,195.0,"Marlton, NJ",Shawnee (NJ),,"8.5 Pts, 4.0 Reb, 0.6 Ast",Monmouth
Jack Collins,13,SR,G,6-5,190.0,"Manasquan, NJ",Manasquan (NJ); The Phelps School (PA),,"7.5 Pts, 5.0 Reb, 5.1 Ast",Monmouth
Dok Muordar,0,SR,F,6-11,200.0,"Rumbek, South Sudan",Huntington Prep (WV),,"4.2 Pts, 2.7 Reb, 0.2 Ast",Monmouth
Kavion McClain,2,SR,G,5-9,155.0,"Memphis, TN",Whitehaven (TN),,"19.5 Pts, 2.0 Reb, 5.0 Ast",Monmouth
Jinup Doboul,24,SO,G,6-8,180.0,"Saint Paul, MN",Phoenix Prep (AZ),,"2.9 Pts, 1.0 Reb, 0.2 Ast",Monmouth
Corey Miller,5,JR,G,6-2,185.0,"Ocean Township, NJ",The Pennington School (NJ),,"4.1 Pts, 1.0 Reb, 1.1 Ast",Monmouth
Anthony Martinez,3,FR,G,6-2,175.0,"Le Bouscat, France",Lycée Léonard Limosin (France),,"0.5 Pts, 0.3 Reb, 0.7 Ast",Monmouth
Zubayr Griffin,20,FR,G,6-4,180.0,"Binghamton, NY",Binghamton (NY),,"1.1 Pts, 0.7 Reb, 0.2 Ast",Monmouth
O'Marion Harvey,8,FR,F,6-7,190.0,"Katy, TX",St. Francis Episcopal (TX),,"0.6 Pts, 0.7 Reb, 0.1 Ast",Monmouth
Lucas Orchard,9,SO,G,6-4,195.0,"Wayne, PA",Devon Prep (PA); Perkiomen School (PA),,"0.9 Pts, 0.3 Reb, 0.0 Ast",Monmouth
Quinn Peters,42,JR,G,6-6,210.0,"Spring Lake Heights, NJ",Manasquan (NJ),,"0.4 Pts, 0.1 Reb, 0.0 Ast",Monmouth
Jack Leahy,10,JR,G,6-5,210.0,"Long Branch, NJ",Wyoming Seminary (PA),,"0.0 Pts, 0.1 Reb, 0.3 Ast",Monmouth
Money Williams,0,JR,G,6-4,200.0,"Oakland, CA",Oakland (CA),,"19.6 Pts, 4.1 Reb, 5.1 Ast",Montana
Te'Jon Sawyer,32,SR,F,6-8,252.0,"Richmond, CA",Salesian Prep,,"11.9 Pts, 5.2 Reb, 1.0 Ast",Montana
Kenyon Aguino,24,FR,F,6-7,222.0,"Albuquerque, NM",Volcano Vista (NM),,"8.7 Pts, 4.3 Reb, 1.7 Ast",Montana
Brooklyn Hicks,3,JR,G,6-3,185.0,"Seattle, WA",Timberline (WA),,"8.7 Pts, 4.1 Reb, 0.9 Ast",Montana
Tyler Thompson,4,SO,G,6-6,190.0,"Fairfield, CA",Vanden (CA),,"9.0 Pts, 4.1 Reb, 1.3 Ast",Montana
Tyler Isaak,8,JR,G,6-3,185.0,"Alamo, CA",San Ramon Valley (CA),,"6.1 Pts, 2.7 Reb, 2.5 Ast",Montana
Grant Kepley,11,SO,G,6-4,180.0,"Bellingham, WA",Sehome (WA),,"6.0 Pts, 2.9 Reb, 3.0 Ast",Montana
Connor Dick,10,JR,G,6-3,194.0,"Missoula, MT",Hellgate (MT),,"2.8 Pts, 1.8 Reb, 0.3 Ast",Montana
Courtney Anderson,13,SO,G,6-5,182.0,"Vallejo, CA",Dublin (CA),,"5.7 Pts, 1.4 Reb, 0.2 Ast",Montana
Trae Taylor,1,SR,F,6-9,207.0,"San Diego, CA",Mission Bay (CA),,"2.5 Pts, 1.8 Reb, 0.0 Ast",Montana
Chase Henderson,2,JR,G,6-0,165.0,"Des Moines, IA",Hoover (IA),,"2.3 Pts, 0.6 Reb, 0.6 Ast",Montana
Amari Jedkins,5,JR,F,6-7,195.0,"Racine, WI",Case (WI),,"1.4 Pts, 1.2 Reb, 0.0 Ast",Montana
Kadyn Betts,7,JR,F,6-8,215.0,"Pueblo, CO",Pueblo Central (CO),,"3.1 Pts, 1.1 Reb, 0.2 Ast",Montana
Luke Moxon,22,FR,G,6-3,210.0,"Arcata, CA",Arcata (CA),,,Montana
Jed Miller,24,SR,G,6-2,175.0,"Agoura, CA",Agoura (CA); Southern California Academy (CA),,"14.6 Pts, 5.4 Reb, 2.7 Ast",Montana State
Patrick McMahon,1,SR,G,6-7,190.0,"Palmer, AK",Colony HS,,"13.6 Pts, 4.7 Reb, 2.0 Ast",Montana State
Christian King,7,JR,F,6-7,215.0,"Kirkland, WA",Seattle Prep (WA),,"12.2 Pts, 4.6 Reb, 1.0 Ast",Montana State
Davian Brown,0,SR,G,6-3,180.0,"Pasadena, CA",Pasadena (CA),,"12.7 Pts, 3.4 Reb, 1.8 Ast",Montana State
Jeremiah Davis,5,SR,G,6-4,185.0,"Fountain Valley, CA",Fountain Valley (CA),,"8.7 Pts, 2.3 Reb, 1.2 Ast",Montana State
Chris Hodges,21,SR,F,6-9,239.0,"Schaumburg, IL",Schaumburg HS,,"5.4 Pts, 4.3 Reb, 1.0 Ast",Montana State
Jaden Steppe,44,SO,F,6-8,220.0,"Tualatin, OR",Tualatin (OR),,"5.4 Pts, 2.6 Reb, 0.7 Ast",Montana State
Seth Amunrud,12,JR,G,6-3,175.0,"Bozeman, MT",Manhattan Christian (MT),,"6.2 Pts, 2.3 Reb, 0.7 Ast",Montana State
Cavin Holden,4,JR,G,6-2,175.0,"Longview, WA",R.A. Long (WA),,"8.4 Pts, 2.6 Reb, 1.8 Ast",Montana State
Waka Mbatch,35,JR,F,6-10,203.0,"Serekunda, Gambia",Kotu Secondary School (Gambia),,"4.7 Pts, 3.0 Reb, 0.6 Ast",Montana State
Howie Keene,2,FR,G,6-7,195.0,"The Woodlands, TX",The Woodlands Christian Academy (TX),,"1.8 Pts, 1.3 Reb, 0.4 Ast",Montana State
Grayson Gaddis,15,SO,F,6-7,215.0,"Salt Lake City, UT",Highland (UT),,"3.0 Pts, 1.0 Reb, 0.7 Ast",Montana State
Calum Rutherfurd,22,JR,F,6-11,225.0,"Sebastopol, CA",Analy (CA),,"1.7 Pts, 1.7 Reb, 0.3 Ast",Montana State
CJ Purdie,3,FR,G,6-4,185.0,"Davidson, NC",Combine Academy (NC),,,Montana State
James Steward,14,FR,F,6-8,210.0,"Chandler, AZ",Marcos de Niza (AZ),,,Montana State
George Marshall,3,SR,G,6-3,185.0,"Jackson, MS",Forest Hill (MS),,"13.0 Pts, 4.2 Reb, 1.9 Ast",Morehead State
Davion Cunningham,2,JR,G,6-3,165.0,"Huntersville, NC",North Mecklenburg (NC),,"12.4 Pts, 4.2 Reb, 2.0 Ast",Morehead State
Jon Carroll,4,JR,F,6-7,215.0,"Tallahassee, FL",Osborne (GA),,"10.8 Pts, 7.6 Reb, 0.6 Ast",Morehead State
Chase Dawson,10,SO,G,6-0,170.0,"Durham, NC",Flight 22 Prep (NC),,"8.8 Pts, 1.1 Reb, 3.0 Ast",Morehead State
Josiah LeGree,0,SO,G,6-0,165.0,"Baltimore, MD",St. Frances (MD),,"8.2 Pts, 1.9 Reb, 3.5 Ast",Morehead State
Anouar Mellouk,8,SR,F,6-8,200.0,"Amsterdam, Netherlands",Fork Union Military Academy,,"7.2 Pts, 4.6 Reb, 0.9 Ast",Morehead State
Tamaury Releford,24,SR,C,6-8,221.0,"Fort Smith, AR",Fayetteville (AR); Northside (AR),,"5.8 Pts, 3.9 Reb, 0.2 Ast",Morehead State
Vince Dawson,5,FR,G,6-6,215.0,"Georgetown, KY",Great Crossing (KY),,"4.1 Pts, 2.4 Reb, 0.4 Ast",Morehead State
Tyonne Farrell,22,SO,F,6-6,208.0,"Baltimore, MD",Mount St. Joseph (MD),,"4.3 Pts, 2.4 Reb, 1.1 Ast",Morehead State
Clayton Parker,33,FR,F,6-8,230.0,"Montgomery City, MO",Montgomery County (MO),,"4.7 Pts, 2.7 Reb, 1.2 Ast",Morehead State
Jace Winkleman,12,SO,G,6-3,165.0,"Morehead, KY",Rowan Count (KY),,"2.5 Pts, 0.0 Reb, 0.0 Ast",Morehead State
Jacob Wilson,1,SR,G,6-5,209.0,"Baton Rouge, LA",Liberty Magnet (LA),,"0.0 Pts, 0.3 Reb, 0.0 Ast",Morehead State
Jaden Priester,15,FR,F,6-8,215.0,"Augusta, GA",Cross Creek (GA),,,Morehead State
Jarvis Wright,11,FR,G,6-1,185.0,"Folkston, GA",Ware County (GA),,,Morehead State
Alfred Worrell,1,SR,G,6-4,208.0,"Washington, DC",Montgomery Blair (MD); Archbishop Carroll (DC),,"17.3 Pts, 3.4 Reb, 1.0 Ast",Morgan State
Rob Lawson,3,SR,G,6-0,170.0,"Capitol Heights, MD",National Christian (MD),,"13.0 Pts, 3.3 Reb, 4.3 Ast",Morgan State
Elijah Davis,2,SR,G,6-1,180.0,"Severn, MD",St. Frances Academy (MD),,"13.7 Pts, 3.3 Reb, 5.6 Ast",Morgan State
Walter Peggs,52,SR,G,6-4,200.0,"Jackson, TN",Madison (TN),,"8.5 Pts, 1.9 Reb, 0.8 Ast",Morgan State
Christian Meeks,0,JR,G,6-6,215.0,"Hazel Crest, IL",Homewood-Flossmoor (IL),,"6.5 Pts, 5.8 Reb, 0.9 Ast",Morgan State
Eugene Alvin,55,JR,F,6-7,225.0,"Fort Myers, FL",Gateway (FL),,"5.0 Pts, 3.0 Reb, 0.4 Ast",Morgan State
Christian Oliver,21,SR,C,7-0,250.0,"Pasadena, CA",Marantha (CA),,"5.1 Pts, 3.2 Reb, 0.4 Ast",Morgan State
Marland Harris,7,SR,F,6-10,210.0,"Inglewood, CA",Westchester (CA),,"4.1 Pts, 3.8 Reb, 0.3 Ast",Morgan State
David Bumpass,4,FR,G,6-3,180.0,"Washington, DC",Friendship Tech Prep (DC),,"3.9 Pts, 1.1 Reb, 0.2 Ast",Morgan State
Manok Lual,22,JR,F,6-9,185.0,"Jacksonville, FL",Bishop Snyder (FL),,"1.9 Pts, 0.8 Reb, 0.1 Ast",Morgan State
Dallas James,42,SR,C,7-0,235.0,"Artesia, CA",City Honors Prep Academy,,"1.5 Pts, 1.6 Reb, 0.1 Ast",Morgan State
Matar Wade,5,SO,F,6-8,205.0,"Washington, DC",Archbishop Carroll (DC),,"0.9 Pts, 1.8 Reb, 0.2 Ast",Morgan State
Trent Edwards,13,JR,F,6-8,210.0,"Lexington, KY",George Rogers Clark (KY),,"3.5 Pts, 3.5 Reb, 0.0 Ast",Morgan State
